"","Date","D_time","Year","Month","Week","Day"
"1",2021-02-23,"2232021",2021,"Feb","8","Tue"
"2",2021-02-24,"2242021",2021,"Feb","8","Wed"
"3",2021-02-23,"2232021",2021,"Feb","8","Tue"
"4",2021-02-23,"2232021",2021,"Feb","8","Tue"
"5",2021-02-23,"2232021",2021,"Feb","8","Tue"
"6",2021-02-23,"2232021",2021,"Feb","8","Tue"
"7",2021-02-24,"2242021",2021,"Feb","8","Wed"
"8",2021-02-23,"2232021",2021,"Feb","8","Tue"
"9",2021-02-23,"2232021",2021,"Feb","8","Tue"
"10",2021-02-23,"2232021",2021,"Feb","8","Tue"
"11",2021-02-24,"2242021",2021,"Feb","8","Wed"
"12",2021-02-24,"2242021",2021,"Feb","8","Wed"
"13",2021-02-28,"2282021",2021,"Feb","8","Sun"
"14",2021-02-26,"2262021",2021,"Feb","8","Fri"
"15",2021-02-26,"2262021",2021,"Feb","8","Fri"
"16",2021-02-27,"2272021",2021,"Feb","8","Sat"
"17",2021-02-27,"2272021",2021,"Feb","8","Sat"
"18",2021-02-27,"2272021",2021,"Feb","8","Sat"
"19",2021-02-27,"2272021",2021,"Feb","8","Sat"
"20",2021-02-25,"2252021",2021,"Feb","8","Thu"
"21",2021-02-26,"2262021",2021,"Feb","8","Fri"
"22",2021-02-27,"2272021",2021,"Feb","8","Sat"
